recclass,count,mean_mass,cv_obs,cv_null_mean,cv_null_std,cv_effect,cv_zscore,cv_pvalue,cv_fdr_q
LL3.7,26,3452.7265384615384,2.715661329474349,3.0897240355985898,0.9674599088441017,-0.37406270612424075,-0.38664414174139994,0.828,0.9412935323383084
LL3.5,17,390.4858823529412,1.4706132904848424,2.705028548425297,0.7667360224403177,-1.2344152579404548,-1.6099612145672222,0.076,0.606896551724138
Eucrite-unbr,32,89.05875,2.221991476007966,1.859269834453063,0.2296330305304046,0.36272164155490305,1.5795708514454188,0.096,0.613953488372093
Lunar (anorth),69,147.8678260869565,1.6904284599391384,3.6640459753524457,2.088397440354704,-1.9736175154133073,-0.9450392330868296,0.336,0.830561797752809
L3.3,17,442.1258823529412,1.577542404272282,2.574961752826026,0.8169401656856063,-0.9974193485537439,-1.2209209320938124,0.268,0.8131645569620253
"Iron, IAB-sLM",10,19816.1,1.2676624187532455,1.807354815997668,0.5929107735525766,-0.5396923972444225,-0.910242183677516,0.376,0.8451485148514851
Lunar,41,536.849268292683,3.3083073018162334,3.872690404004921,1.4017696546064855,-0.5643831021886876,-0.4026218575455788,0.76,0.9134782608695653
"Iron, IC",10,892556.3,1.7273667402399573,1.6963070592966476,0.6512568958091103,0.031059680943309687,0.04769190336897958,0.892,0.9480193236714977
"Iron, IIIE",14,2076114.4285714286,3.4635105848395953,2.01543630000302,0.7572469665551974,1.4480742848365753,1.9122879969054614,0.104,0.613953488372093
"Iron, IVA-an",6,73986.66666666667,0.9300874474284831,1.2663506316656423,0.49960639351918473,-0.3362631842371592,-0.6730562070444096,0.572,0.8742857142857142
CK6,17,103.32235294117648,2.4421883347878035,1.7771109733012014,0.30616199600656147,0.6650773614866021,2.1723054140016407,0.012,0.17600000000000002
L3.1,13,876.1438461538462,2.4407025779478255,1.9642853999287753,0.7985811213981857,0.47641717801905026,0.5965795649976313,0.596,0.8742857142857142
CK5,94,131.56787234042554,2.7274546891267324,4.37044123549275,2.3917303938072236,-1.6429865463660178,-0.6869447119207552,0.744,0.9093333333333333
H3.3,7,414.2142857142857,2.2854811453701473,2.29802703876207,0.1252771640048606,-0.012545893391922469,-0.10014509421234745,0.796,0.9314893617021277
E6,9,345.2577777777778,1.976639308872694,2.220429281355825,0.42733993630853107,-0.24378997248313117,-0.5704825404081111,0.696,0.9093333333333333
Lunar (gabbro),6,413.5316666666667,1.3802882823729634,1.714291986003705,0.3470026196501705,-0.3340037036307415,-0.962539429723805,0.448,0.8598473282442748
R4,42,226.04619047619045,1.4334022899551786,3.5254814199695366,1.507985895071601,-2.092079130014358,-1.3873333542785051,0.064,0.606896551724138
"Iron, IIG",6,24303.166666666668,0.5603431893982307,1.2921513191012537,0.5068835475367235,-0.731808129703023,-1.443740151479278,0.12,0.613953488372093
"Iron, IIC",8,26483.375,1.0244924835386435,1.5594791737332196,0.5994452035121501,-0.5349866901945761,-0.8924697154303487,0.428,0.8598473282442748
EH4/5,9,39.28888888888889,0.9005445911479171,0.9386816851460705,0.054531301494399095,-0.03813709399815346,-0.699361521787088,0.512,0.8598473282442748
"Iron, IIIF",9,55777.26666666667,1.344005314588879,1.6567083359113386,0.610031113398028,-0.31270302132245953,-0.5126017582621719,0.74,0.9093333333333333
R3-6,10,204.45,1.2266120888866525,1.1283019471722868,0.15411916537762396,0.0983101417143657,0.637883948264873,0.612,0.8742857142857142
L6/7,9,5855.368888888889,1.5842191819430078,2.0081974254638326,0.4864935584139299,-0.4239782435208248,-0.8714981651619027,0.472,0.8598473282442748
L-imp melt,25,948.5056,2.781454167387938,3.2552105273066503,0.9320555296997846,-0.47375635991871246,-0.50829198993252,0.732,0.9093333333333333
CK3,13,214.65692307692308,1.2287098662836946,1.017221693439815,0.17251089556225352,0.21148817284387955,1.225940959581654,0.26,0.8131645569620253
"Iron, IVB",14,4322832.857142857,3.5722202025019776,2.048720279502202,0.7908904132859925,1.5234999229997754,1.9263097610071362,0.068,0.606896551724138
R3.8,9,301.34666666666664,1.1941262325558974,1.9687239329432187,0.5535729706622343,-0.7745977003873212,-1.3992693672537462,0.08,0.606896551724138
L~5,32,805.2615625000001,3.856833010649279,3.420908422757401,1.129265416534135,0.43592458789187827,0.3860249162945134,0.672,0.9065060240963857
Mesosiderite-an,6,2008.8166666666666,1.8198751678434655,1.7363019331992278,0.2730319949028247,0.08357323464423771,0.30609319129057533,0.764,0.9134782608695653
Ureilite-pmict,23,262.68565217391307,1.7741599142313191,2.675218042476503,1.0670272094871294,-0.9010581282451837,-0.8444565614013543,0.608,0.8742857142857142
LL~6,5,413.22200000000004,1.6864098324460934,1.784206816358762,0.16986525041766556,-0.09779698391266867,-0.5757327273954204,0.628,0.8745
CK4/5,12,241.56583333333336,1.158718435612117,1.1062496446315158,0.11535631988095273,0.0524687909806012,0.45484106145852077,0.744,0.9093333333333333
EL4,13,234.97615384615386,1.8474950104008434,2.6332865756716184,0.5401819610479377,-0.785791565270775,-1.4546793894160435,0.12,0.613953488372093
